Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
LIE,21.34120359,-68.56024402,52.33663563,LIE-14,GIG_OLD_TAU_EVE_LAW,GIG-LIE_LIE-OLD_LIE-TAU_EVE-LIE_LAW-LIE,GIG-LIE-14_LIE-OLD-14_LIE-TAU-14_EVE-LIE-14_LAW-LIE-14,GIG-14_OLD-14_TAU-14_EVE-14_LAW-14,0,inner,right
OLD,-0.811181406,-60.86001002,71.98093063,OLD-14,LIE_TAU_EVE_FOG_LAW,LIE-OLD_OLD-TAU_EVE-OLD_FOG-OLD_LAW-OLD,LIE-OLD-14_OLD-TAU-14_EVE-OLD-14_FOG-OLD-14_LAW-OLD-14,LIE-14_TAU-14_EVE-14_FOG-14_LAW-14,0,outer,mid
TAU,-21.30092041,-46.13249602,61.36783063,TAU-14,FOG_LIE_OLD_LAW,FOG-TAU_LIE-TAU_OLD-TAU_LAW-TAU,FOG-TAU-14_LIE-TAU-14_OLD-TAU-14_LAW-TAU-14,FOG-14_LIE-14_OLD-14_LAW-14,0,inner,left
EVE,30.91119559,-41.28148002,69.58921863,EVE-14,LAW_OLD_GIG_IRE_LIE,EVE-LAW_EVE-OLD_EVE-GIG_EVE-IRE_EVE-LIE,EVE-LAW-14_EVE-OLD-14_EVE-GIG-14_EVE-IRE-14_EVE-LIE-14,LAW-14_OLD-14_GIG-14_IRE-14_LIE-14,0,outer,right
GIG,41.95506859,-21.83033602,51.21567163,GIG-14,LIE_ERA_EVE_IRE_LAW,GIG-LIE_ERA-GIG_EVE-GIG_GIG-IRE_GIG-LAW,GIG-LIE-14_ERA-GIG-14_EVE-GIG-14_GIG-IRE-14_GIG-LAW-14,LIE-14_ERA-14_EVE-14_IRE-14_LAW-14,0,inner,right
FOG,-11.92286041,-24.93838202,78.58385063,FOG-14,TAU_RIB_LAW_OLD,FOG-TAU_FOG-RIB_FOG-LAW_FOG-OLD,FOG-TAU-14_FOG-RIB-14_FOG-LAW-14_FOG-OLD-14,TAU-14_RIB-14_LAW-14_OLD-14,0,outer,left
ERA,13.73802359,14.67203198,62.12956063,ERA-14,RIB_IRE_GIG_LAW,ERA-RIB_ERA-IRE_ERA-GIG_ERA-LAW,ERA-RIB-14_ERA-IRE-14_ERA-GIG-14_ERA-LAW-14,RIB-14_IRE-14_GIG-14_LAW-14,0,inner,right
LAW,10.22523459,-26.85873602,65.73183363,LAW-14,ERA_EVE_FOG_GIG_IRE_RIB_LIE_TAU_OLD,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LAW-OLD,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-TAU-14_LAW-OLD-14,ERA-14_EVE-14_FOG-14_GIG-14_IRE-14_RIB-14_LIE-14_TAU-14_OLD-14,0,inner,right
RIB,0.777001594,-2.205857017,78.78930963,RIB-14,ERA_FOG_IRE_LAW,ERA-RIB_FOG-RIB_IRE-RIB_LAW-RIB,ERA-RIB-14_FOG-RIB-14_IRE-RIB-14_LAW-RIB-14,ERA-14_FOG-14_IRE-14_LAW-14,0,outer,mid
IRE,36.45626059,-3.166204017,68.58317463,IRE-14,ERA_EVE_GIG_LAW_RIB,ERA-IRE_EVE-IRE_GIG-IRE_IRE-LAW_IRE-RIB,ERA-IRE-14_EVE-IRE-14_GIG-IRE-14_IRE-LAW-14_IRE-RIB-14,ERA-14_EVE-14_GIG-14_LAW-14_RIB-14,0,outer,right
